Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.20578,6.7449E-05,0.23392,0,0,0,90.229,2.1481,0.004352,0.4205,6.2811,-0.0018801,7.2521,0,0,0,0,0,0,package://SUV/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://SUV/meshes/base_link.STL,,Chassis-1;Rear Axle-1;Body1-3;Front Axle-1,Base_Co,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
RearLeftWheel,2.2204E-16,0,2.2204E-16,0,0,0,1.3962,0.0051815,-1.0132E-17,-3.1476E-18,0.0090774,-8.3661E-18,0.0051815,0,0,0,0,0,0,package://SUV/meshes/RearLeftWheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://SUV/meshes/RearLeftWheel.STL,,Wheel-5,RLWCar_Co,RLWCar_Ax,RearLeftWheel_Joint,continuous,0,0.2032,0.10144,0,0,0,base_link,0,1,0,,,,,,,,,,,,
RearRightWheel,2.2204E-16,1.1102E-16,2.2204E-16,0,0,0,1.3962,0.0051815,-7.5071E-18,-1.593E-18,0.0090774,-1.7247E-17,0.0051815,0,0,0,0,0,0,package://SUV/meshes/RearRightWheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://SUV/meshes/RearRightWheel.STL,,Wheel-15,RRWCar_Co,RRWCar_Ax,RearRightWheel_Joint,continuous,0,-0.2032,0.10144,0,0,0,base_link,0,1,0,,,,,,,,,,,,
FrontLeftSteer,-1.79856129989275E-14,0.037265343785134,0.000157388248064994,0,0,0,0.017358141232428,7.67294854860874E-06,1.58472142546195E-20,-7.86135753705226E-21,7.38363363134266E-07,2.13410869020758E-20,7.64761183870118E-06,0,0,0,0,0,0,package://SUV/meshes/FrontLeftSteer.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SUV/meshes/FrontLeftSteer.STL,,Wheel Joint-2,FLJ_Co,FLJ_Ax,FrontLeftSteer_Joint,continuous,0.508,0.1397,0.10144,0,0,0,base_link,0,0,1,,,,,,,,,,,,
FrontLeftWheel,0,-2.22044604925031E-16,2.22044604925031E-16,0,0,0,1.39619583298456,0.0051814826332267,-1.19452155290798E-17,6.85526197351124E-19,0.00907736130581274,-1.30080636187624E-17,0.0051814826332267,0,0,0,0,0,0,package://SUV/meshes/FrontLeftWheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SUV/meshes/FrontLeftWheel.STL,,Wheel-4,FLWCar_Co,FLWCar_Ax,FrontLeftWheel_Joint,continuous,0,0.0635,0.00015739,0,0,0,FrontLeftSteer,0,1,0,,,,,,,,,,,,
FrontRightSteer,-1.1768E-14,-0.037265,0.00015739,0,0,0,0.017358,7.6729E-06,1.7249E-20,-8.0895E-21,7.3836E-07,1.3886E-20,7.6476E-06,0,0,0,0,0,0,package://SUV/meshes/FrontRightSteer.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://SUV/meshes/FrontRightSteer.STL,,Wheel Joint-4,FRJ_Co,FRJ_Ax,FrontRightSteer_Joint,continuous,0.508,-0.1397,0.10144,0,0,0,base_link,0,0,1,,,,,,,,,,,,
FrontRightWheel,2.22044604925031E-16,0,0,0,0,0,1.39619583298457,0.00518148263322671,-1.64532585220915E-17,6.38492740808577E-18,0.00907736130581276,-7.53601200300198E-18,0.00518148263322672,0,0,0,0,0,0,package://SUV/meshes/FrontRightWheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SUV/meshes/FrontRightWheel.STL,,Wheel-10,FRWCar_Co,FRWCar_Ax,FrontRightWheel_Joint,continuous,0,-0.0635,0.00015739,0,0,0,FrontRightSteer,0,1,0,,,,,,,,,,,,
Hitch1,-0.571383258799901,-1.74917281658971E-07,0.0822815332976223,0,0,0,5.9801503611173,0.123019502397971,3.82559087295855E-08,-5.64052916088022E-10,0.438975610025772,-1.38605410830019E-10,0.528069911621096,0,0,0,0,0,0,package://SUV/meshes/Hitch1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SUV/meshes/Hitch1.STL,,Trailer Chassis-1;Rear Axle-2,Hitch1_Co,HItch1_Ax,Hitch1_Joint,continuous,-0.24495,0,0.10144,0,0,0,base_link,0,0,1,,,,,,,,,,,,
LeftTrailer1,1.66533453693773E-16,-2.22044604925031E-16,0,0,0,0,1.39619583298456,0.00518148263322669,-1.49045809926886E-17,-3.49787595846701E-18,0.00907736130581273,-1.60998995089318E-17,0.00518148263322669,0,0,0,0,0,0,package://SUV/meshes/LeftTrailer1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SUV/meshes/LeftTrailer1.STL,,Wheel-11,LTrailer1_Co,LTrailer1_Ax,LeftTrailer1_Joint,continuous,-0.82362,0.2032,3.2E-05,0,0,0,Hitch1,0,1,0,,,,,,,,,,,,
RightTrailer1,5.55111512312578E-17,0,2.22044604925031E-16,0,0,0,1.39619583298456,0.0051814826332267,-1.65394826681313E-17,-2.40739753654012E-18,0.00907736130581274,-1.54647964627013E-17,0.0051814826332267,0,0,0,0,0,0,package://SUV/meshes/RightTrailer1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SUV/meshes/RightTrailer1.STL,,Wheel-16,RTrailer1_Co,RTrailer1_Ax,RightTrailer1_Joint,continuous,-0.82362,-0.20574,3.2E-05,0,0,0,Hitch1,0,1,0,,,,,,,,,,,,
